EmployeeID,Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,PromotionGapRatio,RoleStagnationIndex,TrainingIntensityScore,ManagerStabilityIndicator,ManagerTenureRatio,RolePromoGapDiff,CareerVelocity,CompRatioToRoleAvg,OverallSatisfaction,CareerStage,PromotionGapRiskScore,PromotionGapRiskLevel,RetentionOpportunityIndex,RetentionPriorityLevel,TrainingNeedIndicator,ManagerStabilityImpact,PrescriptiveAction,ClusterID,HierarchicalClusterID,PCA1,PCA2,PCA3,CareerCluster
PANW-1195,37,0,Travel_Rarely,290,Research & Development,21,3,Life Sciences,2,Male,65,4,1,Research Scientist,1,Married,3564,22977,1,Yes,12,3,1,1,8,3,2,8,7,1,7,0.111,0.778,0.333,0.875,0.778,6,0.111,1.1,1.5,Established Stage (7-12 yrs),56.1,High Risk,78.4,Immediate Action,Sufficiently Trained,Stable Leadership Continuity,Lateral Role Rotation / New Project,3,1,0.626,0.926,-1.496,High-Risk Stagnation Profiles
PANW-1196,35,0,Travel_Frequently,138,Research & Development,2,3,Medical,2,Female,37,3,2,Laboratory Technician,2,Single,4425,15986,5,No,11,3,4,0,10,5,3,6,2,1,2,0.143,0.286,0.714,0.667,0.286,1,0.182,1.37,2.75,Growth Stage (3-6 yrs),24.4,Low Risk,63.5,Watchlist,Sufficiently Trained,Moderate Manager Continuity,Regular Annual Review,1,4,-0.945,-0.57,0.042,Fast-Track Performers
PANW-1197,42,0,Non-Travel,926,Research & Development,21,2,Medical,3,Female,36,3,2,Manufacturing Director,3,Divorced,5265,16439,2,No,16,3,2,1,11,5,3,5,3,0,2,0.0,0.5,0.833,0.5,0.333,3,0.167,0.72,2.75,Growth Stage (3-6 yrs),25.6,Low Risk,64.0,Watchlist,Sufficiently Trained,Moderate Manager Continuity,Regular Annual Review,1,4,-0.954,-0.269,-0.821,Fast-Track Performers
PANW-1198,38,0,Travel_Rarely,1261,Research & Development,2,4,Life Sciences,4,Male,88,3,2,Manufacturing Director,3,Married,6553,7259,9,No,14,3,2,0,14,3,3,1,0,0,0,0.0,0.0,1.5,0.0,0.0,0,0.133,0.9,3.0,Early Stage (0-2 yrs),3.8,Low Risk,56.3,Watchlist,Sufficiently Trained,Recent Manager Transition,Regular Annual Review,0,2,-2.311,-1.391,0.19,Early-Career Explorers
PANW-1199,38,0,Travel_Rarely,1084,Research & Development,29,3,Technical Degree,4,Male,54,3,2,Manufacturing Director,4,Married,6261,4185,3,No,18,3,1,1,9,3,1,7,7,1,7,0.125,0.875,0.375,0.875,0.875,6,0.2,0.86,2.5,Established Stage (7-12 yrs),47.2,Medium Risk,71.5,Immediate Action,Sufficiently Trained,Stable Leadership Continuity,Lateral Role Rotation / New Project,3,1,0.729,0.856,-1.288,High-Risk Stagnation Profiles
PANW-1200,27,0,Travel_Frequently,472,Research & Development,1,1,Technical Degree,3,Male,60,2,2,Manufacturing Director,1,Married,4298,9679,5,No,19,3,3,1,6,1,3,2,2,2,0,0.667,0.667,0.333,0.0,0.0,0,0.286,0.59,2.5,Early Stage (0-2 yrs),41.2,Medium Risk,65.7,Watchlist,High Development Need,Recent Manager Transition,Upskilling & Training Program,1,4,-0.93,1.741,0.812,Fast-Track Performers
PANW-1201,49,0,Non-Travel,1002,Research & Development,18,4,Life Sciences,4,Male,92,3,2,Manufacturing Director,4,Divorced,6804,23793,1,Yes,15,3,1,2,7,0,3,7,7,1,7,0.125,0.875,0.0,0.875,0.875,6,0.25,0.93,3.0,Established Stage (7-12 yrs),47.2,Medium Risk,71.5,Immediate Action,High Development Need,Stable Leadership Continuity,Lateral Role Rotation / New Project,3,1,0.721,0.993,-1.246,High-Risk Stagnation Profiles
PANW-1202,34,0,Travel_Frequently,878,Research & Development,10,4,Medical,4,Male,43,3,1,Research Scientist,3,Divorced,3815,5972,1,Yes,17,3,4,1,5,4,4,5,3,2,0,0.333,0.5,0.667,0.0,0.0,1,0.167,1.18,3.75,Growth Stage (3-6 yrs),32.6,Medium Risk,66.4,Watchlist,Sufficiently Trained,Recent Manager Transition,Regular Annual Review,1,4,-1.211,1.199,-0.044,Fast-Track Performers
PANW-1203,40,0,Travel_Rarely,905,Research & Development,19,2,Medical,3,Male,99,3,2,Laboratory Technician,4,Married,2741,16523,8,Yes,15,3,3,1,15,2,4,7,2,3,7,0.375,0.25,0.25,2.333,0.875,-1,0.125,0.85,3.5,Established Stage (7-12 yrs),23.0,Low Risk,63.0,Watchlist,Moderate Development Need,Stable Leadership Continuity,Regular Annual Review,1,4,0.698,-1.115,0.3,Fast-Track Performers
PANW-1204,38,1,Travel_Rarely,1180,Research & Development,29,1,Medical,2,Male,70,3,2,Healthcare Representative,1,Married,6673,11354,7,Yes,19,3,2,0,17,2,3,1,0,0,0,0.0,0.0,1.0,0.0,0.0,0,0.111,0.89,2.0,Early Stage (0-2 yrs),11.2,Low Risk,33.9,Already Attrited,Moderate Development Need,Recent Manager Transition,Exit Analysis & Knowledge Transfer,1,2,-1.953,-1.426,-0.231,Fast-Track Performers
PANW-1205,29,1,Travel_Rarely,121,Sales,27,3,Marketing,2,Female,35,3,3,Sales Executive,4,Married,7639,24525,1,No,22,4,4,3,10,3,2,10,4,1,9,0.091,0.364,0.273,1.8,0.818,3,0.273,1.1,3.0,Established Stage (7-12 yrs),25.1,Low Risk,45.0,Already Attrited,Sufficiently Trained,Stable Leadership Continuity,Exit Analysis & Knowledge Transfer,3,1,0.649,-1.179,-0.472,High-Risk Stagnation Profiles
PANW-1206,22,0,Travel_Rarely,1136,Research & Development,5,3,Life Sciences,4,Male,60,4,1,Research Scientist,2,Divorced,2328,12392,1,Yes,16,3,1,1,4,2,2,4,2,2,2,0.4,0.4,0.4,0.667,0.4,0,0.2,0.72,2.25,Growth Stage (3-6 yrs),30.8,Medium Risk,69.5,Watchlist,Moderate Development Need,Moderate Manager Continuity,Regular Annual Review,1,4,-1.112,0.856,0.196,Fast-Track Performers
PANW-1207,36,0,Travel_Frequently,635,Research & Development,18,1,Medical,2,Female,73,3,1,Laboratory Technician,4,Single,2153,7703,1,No,13,3,1,0,8,2,3,8,1,1,7,0.111,0.111,0.222,3.5,0.778,0,0.111,0.67,2.5,Established Stage (7-12 yrs),9.4,Low Risk,58.3,Watchlist,Moderate Development Need,Stable Leadership Continuity,Regular Annual Review,4,4,-0.217,-1.737,-0.565,Promotion-Stalled Employees
PANW-1208,40,0,Non-Travel,1151,Research & Development,9,5,Life Sciences,4,Male,63,2,2,Healthcare Representative,4,Married,4876,14242,9,No,14,3,4,1,5,5,1,3,2,0,2,0.0,0.5,1.25,0.667,0.5,2,0.333,0.65,3.25,Growth Stage (3-6 yrs),18.8,Low Risk,57.8,Watchlist,Sufficiently Trained,Moderate Manager Continuity,Regular Annual Review,1,4,-1.909,-0.077,-0.07,Fast-Track Performers
PANW-1209,46,0,Travel_Rarely,644,Research & Development,1,4,Medical,4,Male,97,3,3,Healthcare Representative,1,Divorced,9396,12368,7,No,16,3,3,1,17,3,3,4,2,0,3,0.0,0.4,0.6,1.0,0.6,2,0.167,1.25,2.75,Growth Stage (3-6 yrs),27.5,Low Risk,64.6,Watchlist,Sufficiently Trained,Moderate Manager Continuity,Regular Annual Review,1,4,-0.443,-1.31,-0.615,Fast-Track Performers
PANW-1210,32,1,Travel_Rarely,1045,Sales,4,4,Medical,4,Male,32,1,3,Sales Executive,4,Married,10400,25812,1,No,11,3,3,0,14,2,2,14,8,9,8,0.6,0.533,0.133,0.889,0.533,-1,0.2,1.5,3.25,Veteran Stage (13+ yrs),69.8,High Risk,46.9,Already Attrited,Moderate Development Need,Prolonged Stagnant Manager Dyad,Exit Analysis & Knowledge Transfer,2,1,2.877,0.501,1.582,Stable Long-Term Contributors
PANW-1211,30,0,Non-Travel,829,Research & Development,1,1,Life Sciences,3,Male,88,2,3,Manufacturing Director,3,Single,8474,20925,1,No,22,4,3,0,12,2,3,11,8,5,8,0.417,0.667,0.167,0.889,0.667,3,0.231,1.16,3.0,Established Stage (7-12 yrs),62.9,High Risk,79.5,Immediate Action,Moderate Development Need,Prolonged Stagnant Manager Dyad,Promotion & Compensation Review,3,0,2.041,0.587,0.206,High-Risk Stagnation Profiles
PANW-1212,27,0,Travel_Frequently,1242,Sales,20,3,Life Sciences,4,Female,90,3,2,Sales Executive,3,Single,9981,12916,1,No,14,3,4,0,7,2,3,7,7,0,7,0.0,0.875,0.25,0.875,0.875,7,0.25,1.44,3.5,Established Stage (7-12 yrs),47.5,Medium Risk,71.6,Immediate Action,Moderate Development Need,Stable Leadership Continuity,Lateral Role Rotation / New Project,3,1,0.425,0.719,-1.525,High-Risk Stagnation Profiles
PANW-1213,51,0,Travel_Rarely,1469,Research & Development,8,4,Life Sciences,2,Male,81,2,3,Research Director,2,Married,12490,15736,5,No,16,3,4,2,16,5,1,10,9,4,7,0.364,0.818,0.455,0.7,0.636,5,0.176,0.78,2.25,Established Stage (7-12 yrs),67.0,High Risk,74.7,Immediate Action,Sufficiently Trained,Prolonged Stagnant Manager Dyad,Promotion & Compensation Review,3,0,2.118,0.634,-0.107,High-Risk Stagnation Profiles
PANW-1214,30,1,Travel_Rarely,1005,Research & Development,3,3,Technical Degree,4,Female,88,3,1,Research Scientist,1,Single,2657,8556,5,Yes,11,3,3,0,8,5,3,5,2,0,4,0.0,0.333,0.833,1.333,0.667,2,0.111,0.82,2.75,Growth Stage (3-6 yrs),25.8,Low Risk,39.0,Already Attrited,Sufficiently Trained,Stable Leadership Continuity,Exit Analysis & Knowledge Transfer,1,4,-1.134,-0.597,-0.846,Fast-Track Performers
PANW-1215,41,0,Travel_Rarely,896,Sales,6,3,Life Sciences,4,Female,75,3,3,Manager,4,Single,13591,14674,3,Yes,18,3,3,0,16,3,3,1,0,0,0,0.0,0.0,1.5,0.0,0.0,0,0.176,0.79,3.5,Early Stage (0-2 yrs),0.0,Low Risk,55.0,Watchlist,Sufficiently Trained,Recent Manager Transition,Regular Annual Review,0,2,-2.078,-1.777,0.382,Early-Career Explorers
PANW-1216,30,1,Travel_Frequently,334,Sales,26,4,Marketing,3,Female,52,2,2,Sales Executive,1,Single,6696,22967,5,No,15,3,3,0,9,5,2,6,3,0,1,0.0,0.429,0.714,0.25,0.143,3,0.2,0.97,2.25,Growth Stage (3-6 yrs),31.4,Medium Risk,37.2,Already Attrited,Sufficiently Trained,Recent Manager Transition,Exit Analysis & Knowledge Transfer,1,4,-1.178,-0.209,-0.655,Fast-Track Performers
PANW-1217,29,1,Travel_Rarely,992,Research & Development,1,3,Technical Degree,3,Male,85,3,1,Research Scientist,3,Single,2058,19757,0,No,14,3,4,0,7,1,2,6,2,1,5,0.143,0.286,0.143,1.667,0.714,1,0.125,0.64,3.0,Growth Stage (3-6 yrs),20.6,Low Risk,37.2,Already Attrited,Moderate Development Need,Stable Leadership Continuity,Exit Analysis & Knowledge Transfer,1,4,-0.543,-0.428,-0.721,Fast-Track Performers
PANW-1218,45,0,Non-Travel,1052,Sales,6,3,Medical,4,Female,57,2,3,Sales Executive,4,Single,8865,16840,6,No,12,3,4,0,23,2,3,19,7,12,8,0.6,0.35,0.1,1.0,0.4,-5,0.125,1.28,3.75,Veteran Stage (13+ yrs),65.6,High Risk,74.2,Immediate Action,Moderate Development Need,Prolonged Stagnant Manager Dyad,Promotion & Compensation Review,2,0,3.796,-0.393,2.094,Stable Long-Term Contributors
PANW-1219,54,0,Travel_Rarely,1147,Sales,3,3,Marketing,4,Female,52,3,2,Sales Executive,1,Married,5940,17011,2,No,14,3,4,1,16,4,3,6,2,0,5,0.0,0.286,0.571,1.667,0.714,2,0.118,0.86,3.0,Growth Stage (3-6 yrs),24.6,Low Risk,63.6,Watchlist,Sufficiently Trained,Stable Leadership Continuity,Regular Annual Review,1,4,-0.291,-1.522,-0.803,Fast-Track Performers
PANW-1220,36,0,Travel_Rarely,1396,Research & Development,5,2,Life Sciences,4,Male,62,3,2,Laboratory Technician,2,Single,5914,9945,8,No,16,3,4,0,16,3,4,13,11,3,7,0.214,0.786,0.214,0.583,0.5,8,0.118,1.83,3.5,Veteran Stage (13+ yrs),62.6,High Risk,76.9,Immediate Action,Sufficiently Trained,Stable Leadership Continuity,Promotion & Compensation Review,3,1,2.236,0.75,-1.072,High-Risk Stagnation Profiles
PANW-1221,33,0,Travel_Rarely,147,Research & Development,4,4,Medical,3,Female,47,2,1,Research Scientist,2,Married,2622,13248,6,No,21,4,4,0,7,3,3,3,2,1,1,0.25,0.5,0.75,0.333,0.25,1,0.125,0.81,3.0,Growth Stage (3-6 yrs),29.8,Low Risk,67.9,Watchlist,Sufficiently Trained,Recent Manager Transition,Regular Annual Review,1,4,-1.354,0.791,-0.547,Fast-Track Performers
PANW-1222,37,0,Travel_Frequently,663,Research & Development,11,3,Other,2,Male,47,3,3,Research Director,4,Divorced,12185,10056,1,Yes,14,3,3,3,10,1,3,10,8,0,7,0.0,0.727,0.091,0.778,0.636,8,0.273,0.76,3.0,Established Stage (7-12 yrs),43.2,Medium Risk,70.1,Immediate Action,High Development Need,Stable Leadership Continuity,Lateral Role Rotation / New Project,3,1,0.989,-0.011,-1.226,High-Risk Stagnation Profiles
PANW-1223,38,0,Travel_Rarely,119,Sales,3,3,Life Sciences,1,Male,76,3,3,Sales Executive,3,Divorced,10609,9647,0,No,12,3,3,2,17,6,2,16,10,5,13,0.294,0.588,0.353,1.182,0.765,5,0.167,1.53,2.25,Veteran Stage (13+ yrs),61.0,High Risk,76.4,Immediate Action,Sufficiently Trained,Prolonged Stagnant Manager Dyad,Promotion & Compensation Review,2,1,3.289,-0.346,0.023,Stable Long-Term Contributors
PANW-1224,31,0,Non-Travel,979,Research & Development,1,4,Medical,3,Male,90,1,2,Manufacturing Director,3,Married,4345,4381,0,No,12,3,4,1,6,2,3,5,4,1,4,0.167,0.667,0.333,0.8,0.667,3,0.286,0.6,3.25,Growth Stage (3-6 yrs),36.4,Medium Risk,60.2,Watchlist,Moderate Development Need,Stable Leadership Continuity,Lateral Role Rotation / New Project,1,4,-0.44,0.576,-0.389,Fast-Track Performers
PANW-1225,59,0,Travel_Rarely,142,Research & Development,3,3,Life Sciences,3,Male,70,2,1,Research Scientist,4,Married,2177,8456,3,No,17,3,1,1,7,6,3,1,0,0,0,0.0,0.0,3.0,0.0,0.0,0,0.125,0.67,2.75,Early Stage (0-2 yrs),0.0,Low Risk,51.2,Watchlist,Sufficiently Trained,Recent Manager Transition,Regular Annual Review,0,2,-3.489,-0.897,0.602,Early-Career Explorers
PANW-1226,37,0,Travel_Frequently,319,Sales,4,4,Marketing,1,Male,41,3,1,Sales Representative,4,Divorced,2793,2539,4,No,17,3,3,1,13,2,3,9,8,5,8,0.5,0.8,0.2,0.889,0.8,3,0.071,1.06,2.75,Established Stage (7-12 yrs),62.5,High Risk,76.9,Immediate Action,Moderate Development Need,Prolonged Stagnant Manager Dyad,Promotion & Compensation Review,3,0,1.944,1.553,-0.419,High-Risk Stagnation Profiles
PANW-1227,29,0,Travel_Frequently,1413,Sales,1,1,Medical,2,Female,42,3,3,Sales Executive,4,Married,7918,6599,1,No,14,3,4,1,11,5,3,11,10,4,1,0.333,0.833,0.417,0.091,0.083,6,0.25,1.14,3.25,Established Stage (7-12 yrs),59.8,High Risk,75.9,Immediate Action,Sufficiently Trained,Recent Manager Transition,Lateral Role Rotation / New Project,3,0,1.24,1.257,0.152,High-Risk Stagnation Profiles
PANW-1228,35,0,Travel_Frequently,944,Sales,1,3,Marketing,3,Female,92,3,3,Sales Executive,3,Single,8789,9096,1,No,14,3,1,0,10,3,4,10,7,0,8,0.0,0.636,0.273,1.0,0.727,7,0.273,1.27,2.75,Established Stage (7-12 yrs),41.5,Medium Risk,69.5,Watchlist,Sufficiently Trained,Stable Leadership Continuity,Lateral Role Rotation / New Project,3,1,0.861,-0.385,-1.02,High-Risk Stagnation Profiles
PANW-1229,29,1,Travel_Rarely,896,Research & Development,18,1,Medical,3,Male,86,2,1,Research Scientist,4,Single,2389,14961,1,Yes,13,3,3,0,4,3,2,4,3,0,1,0.0,0.6,0.6,0.25,0.2,3,0.2,0.74,3.0,Growth Stage (3-6 yrs),24.4,Low Risk,34.8,Already Attrited,Sufficiently Trained,Recent Manager Transition,Exit Analysis & Knowledge Transfer,1,4,-1.566,0.763,-1.036,Fast-Track Performers
PANW-1230,52,0,Travel_Rarely,1323,Research & Development,2,3,Life Sciences,3,Female,89,2,1,Laboratory Technician,4,Single,3212,3300,7,No,15,3,2,0,6,3,2,2,2,2,2,0.667,0.667,1.0,0.667,0.667,0,0.143,0.99,2.75,Early Stage (0-2 yrs),29.9,Low Risk,61.7,Watchlist,Sufficiently Trained,Moderate Manager Continuity,Regular Annual Review,1,4,-0.877,1.615,0.6,Fast-Track Performers
PANW-1231,42,0,Travel_Rarely,532,Research & Development,4,2,Technical Degree,3,Male,58,3,5,Manager,4,Married,19232,4933,1,No,11,3,4,0,22,3,3,22,17,11,15,0.478,0.739,0.13,0.833,0.652,6,0.217,1.12,3.5,Veteran Stage (13+ yrs),78.5,High Risk,82.5,Immediate Action,Sufficiently Trained,Prolonged Stagnant Manager Dyad,Promotion & Compensation Review,2,0,6.187,0.013,1.287,Stable Long-Term Contributors
PANW-1232,59,0,Travel_Rarely,818,Human Resources,6,2,Medical,2,Male,52,3,1,Human Resources,3,Married,2267,25657,8,No,17,3,4,0,7,2,2,2,2,2,2,0.667,0.667,0.667,0.667,0.667,0,0.125,0.54,2.75,Early Stage (0-2 yrs),33.7,Medium Risk,66.8,Watchlist,Moderate Development Need,Moderate Manager Continuity,Regular Annual Review,1,4,-0.668,1.627,0.342,Fast-Track Performers
PANW-1233,50,0,Travel_Rarely,854,Sales,1,4,Medical,4,Female,68,3,5,Manager,4,Divorced,19517,24118,3,No,11,3,3,1,32,3,2,7,0,0,6,0.0,0.0,0.375,6.0,0.75,0,0.152,1.14,3.25,Established Stage (7-12 yrs),0.0,Low Risk,55.0,Watchlist,Sufficiently Trained,Stable Leadership Continuity,Regular Annual Review,4,3,1.4,-5.667,0.232,Promotion-Stalled Employees
PANW-1234,33,1,Travel_Rarely,813,Research & Development,14,3,Medical,3,Male,58,3,1,Laboratory Technician,4,Married,2436,22149,5,Yes,13,3,3,1,8,2,1,5,4,0,4,0.0,0.667,0.333,0.8,0.667,4,0.111,0.75,2.75,Growth Stage (3-6 yrs),29.2,Low Risk,40.2,Already Attrited,Moderate Development Need,Stable Leadership Continuity,Exit Analysis & Knowledge Transfer,1,4,-0.5,0.484,-1.597,Fast-Track Performers
PANW-1235,43,0,Travel_Rarely,1034,Sales,16,3,Marketing,4,Female,80,3,4,Manager,4,Married,16064,7744,5,Yes,22,4,3,1,22,3,3,17,13,1,9,0.056,0.722,0.167,0.643,0.5,12,0.174,0.93,3.5,Veteran Stage (13+ yrs),46.6,Medium Risk,77.6,Immediate Action,Sufficiently Trained,Stable Leadership Continuity,Lateral Role Rotation / New Project,2,1,3.19,-0.637,-1.444,Stable Long-Term Contributors
PANW-1236,33,1,Travel_Rarely,465,Research & Development,2,2,Life Sciences,1,Female,39,3,1,Laboratory Technician,1,Married,2707,21509,7,No,20,4,1,0,13,3,4,9,7,1,7,0.1,0.7,0.3,0.875,0.7,6,0.071,0.84,1.75,Established Stage (7-12 yrs),54.1,Medium Risk,55.2,Already Attrited,Sufficiently Trained,Stable Leadership Continuity,Exit Analysis & Knowledge Transfer,3,1,0.883,0.554,-1.755,High-Risk Stagnation Profiles
PANW-1237,52,0,Non-Travel,771,Sales,2,4,Life Sciences,1,Male,79,2,5,Manager,3,Single,19068,21030,1,Yes,18,3,4,0,33,2,4,33,7,15,12,0.441,0.206,0.059,1.5,0.353,-8,0.147,1.11,3.0,Veteran Stage (13+ yrs),65.8,High Risk,74.3,Immediate Action,Moderate Development Need,Prolonged Stagnant Manager Dyad,Promotion & Compensation Review,2,0,6.13,-2.487,2.581,Stable Long-Term Contributors
PANW-1238,32,0,Travel_Rarely,1401,Sales,4,2,Life Sciences,3,Female,56,3,1,Sales Representative,2,Married,3931,20990,2,No,11,3,1,1,6,5,3,4,3,1,2,0.2,0.6,1.0,0.5,0.4,2,0.143,1.5,2.25,Growth Stage (3-6 yrs),35.4,Medium Risk,67.4,Watchlist,Sufficiently Trained,Moderate Manager Continuity,Regular Annual Review,1,4,-1.146,0.797,-0.398,Fast-Track Performers
PANW-1239,32,1,Travel_Rarely,515,Research & Development,1,3,Life Sciences,4,Male,62,2,1,Laboratory Technician,3,Single,3730,9571,0,Yes,14,3,4,0,4,2,1,3,2,1,2,0.25,0.5,0.5,0.667,0.5,1,0.2,1.15,3.0,Growth Stage (3-6 yrs),26.0,Low Risk,35.4,Already Attrited,Moderate Development Need,Moderate Manager Continuity,Exit Analysis & Knowledge Transfer,1,4,-1.34,0.783,-0.295,Fast-Track Performers
PANW-1240,39,0,Travel_Rarely,1431,Research & Development,1,4,Medical,3,Female,96,3,1,Laboratory Technician,3,Divorced,2232,15417,7,No,14,3,3,3,7,1,3,3,2,1,2,0.25,0.5,0.25,0.667,0.5,1,0.125,0.69,3.0,Growth Stage (3-6 yrs),26.0,Low Risk,64.1,Watchlist,Moderate Development Need,Moderate Manager Continuity,Upskilling & Training Program,1,4,-0.964,0.65,-0.621,Fast-Track Performers
PANW-1241,32,0,Non-Travel,976,Sales,26,4,Marketing,3,Male,100,3,2,Sales Executive,4,Married,4465,12069,0,No,18,3,1,0,4,2,3,3,2,2,2,0.5,0.5,0.5,0.667,0.5,0,0.4,0.64,2.75,Growth Stage (3-6 yrs),25.8,Low Risk,64.0,Watchlist,Moderate Development Need,Moderate Manager Continuity,Regular Annual Review,1,4,-1.205,0.952,1.036,Fast-Track Performers
PANW-1242,41,0,Travel_Rarely,1411,Research & Development,19,2,Life Sciences,3,Male,36,3,2,Research Scientist,1,Divorced,3072,19877,2,No,16,3,1,2,17,2,2,1,0,0,0,0.0,0.0,1.0,0.0,0.0,0,0.111,0.95,1.75,Early Stage (0-2 yrs),11.2,Low Risk,58.9,Watchlist,Moderate Development Need,Recent Manager Transition,Regular Annual Review,1,2,-1.94,-1.454,-0.151,Fast-Track Performers
PANW-1243,40,0,Travel_Rarely,1300,Research & Development,24,2,Technical Degree,1,Male,62,3,2,Research Scientist,4,Divorced,3319,24447,1,No,17,3,1,2,9,3,3,9,8,4,7,0.4,0.8,0.3,0.778,0.7,4,0.2,1.02,2.25,Established Stage (7-12 yrs),59.0,High Risk,75.6,Immediate Action,Sufficiently Trained,Prolonged Stagnant Manager Dyad,Lateral Role Rotation / New Project,3,0,1.438,1.301,-0.191,High-Risk Stagnation Profiles
PANW-1244,45,0,Travel_Rarely,252,Research & Development,1,3,Other,3,Male,70,4,5,Manager,4,Married,19202,15970,0,No,11,3,3,1,25,2,3,24,0,1,7,0.04,0.0,0.08,7.0,0.28,-1,0.192,1.12,3.25,Veteran Stage (13+ yrs),3.5,Low Risk,60.0,Watchlist,Moderate Development Need,Stable Leadership Continuity,Regular Annual Review,4,3,2.621,-6.007,0.432,Promotion-Stalled Employees
PANW-1245,31,0,Travel_Frequently,1327,Research & Development,3,4,Medical,2,Male,73,3,3,Research Director,3,Divorced,13675,13523,9,No,12,3,1,1,9,3,3,2,2,2,2,0.667,0.667,1.0,0.667,0.667,0,0.3,0.85,2.25,Early Stage (0-2 yrs),33.7,Medium Risk,66.8,Watchlist,Sufficiently Trained,Moderate Manager Continuity,Regular Annual Review,1,4,-0.54,0.811,1.48,Fast-Track Performers
PANW-1246,33,0,Travel_Rarely,832,Research & Development,5,4,Life Sciences,3,Female,63,2,1,Research Scientist,4,Married,2911,14776,1,No,13,3,3,1,2,2,2,2,2,0,2,0.0,0.667,0.667,0.667,0.667,2,0.333,0.9,3.0,Early Stage (0-2 yrs),22.9,Low Risk,59.3,Watchlist,Moderate Development Need,Moderate Manager Continuity,Regular Annual Review,1,4,-1.957,0.839,-0.684,Fast-Track Performers
PANW-1247,34,0,Travel_Rarely,470,Research & Development,2,4,Life Sciences,4,Male,84,2,2,Manufacturing Director,1,Married,5957,23687,6,No,13,3,2,1,13,3,3,11,9,5,9,0.417,0.75,0.25,0.9,0.75,4,0.143,0.82,2.5,Established Stage (7-12 yrs),72.5,High Risk,76.6,Immediate Action,Sufficiently Trained,Prolonged Stagnant Manager Dyad,Promotion & Compensation Review,3,1,2.292,0.958,-0.095,High-Risk Stagnation Profiles
PANW-1248,37,0,Travel_Rarely,1017,Research & Development,1,2,Medical,3,Female,83,2,1,Research Scientist,1,Married,3920,18697,2,No,14,3,1,1,17,2,2,3,1,0,2,0.0,0.25,0.5,1.0,0.5,1,0.056,1.21,1.75,Growth Stage (3-6 yrs),20.6,Low Risk,58.5,Watchlist,Moderate Development Need,Moderate Manager Continuity,Regular Annual Review,1,4,-1.081,-0.986,-1.027,Fast-Track Performers
PANW-1249,45,0,Travel_Frequently,1199,Research & Development,7,4,Life Sciences,1,Male,77,4,2,Manufacturing Director,3,Married,6434,5118,4,No,17,3,4,1,9,1,3,3,2,0,2,0.0,0.5,0.25,0.667,0.5,2,0.2,0.88,2.75,Growth Stage (3-6 yrs),22.5,Low Risk,66.6,Watchlist,Moderate Development Need,Moderate Manager Continuity,Upskilling & Training Program,1,4,-1.075,-0.144,-0.995,Fast-Track Performers
PANW-1250,37,1,Travel_Frequently,504,Research & Development,10,3,Medical,1,Male,61,3,3,Manufacturing Director,3,Divorced,10048,22573,6,No,11,3,2,2,17,5,3,1,0,0,0,0.0,0.0,2.5,0.0,0.0,0,0.167,1.38,2.25,Early Stage (0-2 yrs),3.8,Low Risk,31.3,Already Attrited,Sufficiently Trained,Recent Manager Transition,Exit Analysis & Knowledge Transfer,0,2,-2.412,-2.034,1.016,Early-Career Explorers
PANW-1251,39,0,Travel_Frequently,505,Research & Development,2,4,Technical Degree,3,Female,64,3,3,Healthcare Representative,3,Single,10938,6420,0,No,25,4,4,0,20,1,3,19,6,11,8,0.55,0.3,0.05,1.143,0.4,-5,0.143,1.45,3.25,Veteran Stage (13+ yrs),65.0,High Risk,84.0,Immediate Action,High Development Need,Prolonged Stagnant Manager Dyad,Promotion & Compensation Review,2,0,3.327,-0.452,1.599,Stable Long-Term Contributors
PANW-1252,29,0,Travel_Rarely,665,Research & Development,15,3,Life Sciences,3,Male,60,3,1,Research Scientist,4,Single,2340,22673,1,No,19,3,1,0,6,1,3,6,5,1,5,0.143,0.714,0.143,0.833,0.714,4,0.143,0.72,2.75,Growth Stage (3-6 yrs),37.0,Medium Risk,68.0,Watchlist,Moderate Development Need,Stable Leadership Continuity,Lateral Role Rotation / New Project,1,4,-0.062,1.027,-1.416,Fast-Track Performers
PANW-1253,42,0,Travel_Rarely,916,Research & Development,17,2,Life Sciences,4,Female,82,4,2,Research Scientist,1,Single,6545,23016,3,Yes,13,3,3,0,10,1,3,3,2,0,2,0.0,0.5,0.25,0.667,0.5,2,0.182,2.02,2.75,Growth Stage (3-6 yrs),30.0,Medium Risk,69.2,Watchlist,Moderate Development Need,Moderate Manager Continuity,Upskilling & Training Program,1,4,-0.981,-0.235,-0.938,Fast-Track Performers
